"Commune","Departement","Region","Code_UIC","WGS_84"
"Gaillac","Tarn","Occitanie","615252","43.905969, 1.894855"
"Lavaur","Tarn","Occitanie","615476","43.703479, 1.813146"
"Colomiers","Haute-Garonne","Occitanie","611921","43.6163055, 1.3141157"
"Saint-Christophe-Vallon","Aveyron","Occitanie","613257","44.464619, 2.4077585"
"Mérenvielle","Haute-Garonne","Occitanie","611814","43.6365051, 1.1503303"
"Escalquens","Haute-Garonne","Occitanie","611707","43.5170958, 1.5422774"
"Grisolles","Tarn-et-Garonne","Occitanie","611673","43.8269619, 1.3023292"
"Bagnac-sur-Célé","Lot","Occitanie","613604","44.6652105, 2.1602503"
"Dégagnac","Lot","Occitanie","613174","44.6534974, 1.3400861"
"Pibrac","Haute-Garonne","Occitanie","611830","43.621364, 1.289237"
"Saint-Jean-de-Verges","Ariège","Occitanie","611624","43.0128587, 1.608059"
"Rodez","Aveyron","Occitanie","613422","44.362633, 2.58056"
"Saint-Cyprien","Dordogne","Nouvelle-Aquitaine","595777","44.8632733, 1.0434666"
"Issoudun","Indre","Centre-Val de Loire","597062","46.948763, 1.985834"
"Saint-Prest","Eure-et-Loir","Centre-Val de Loire","394171","48.4827197, 1.5228734"
"Saint-Geniès-de-Malgoirès","Gard","Occitanie","775361","43.9501684, 4.2149416"
"Saint-Rome-de-Cernon","Aveyron","Occitanie","783431","44.013981, 2.9673744"
"Clermont-Ferrand","Puy-de-Dôme","Auvergne-Rhône-Alpes","782607","45.766947, 3.134163"
"Saint-Césaire-de-Gauzignan","Gard","Occitanie","775072","43.8133863, 4.3276399"
"Aigues-Mortes","Gard","Occitanie","775858","43.5709008, 4.1912102"
"Bédarieux","Hérault","Occitanie","781609","43.6086972, 3.1495688"
"Fondamente","Aveyron","Occitanie","781534","43.8685236, 3.1097221"
"Magalas","Hérault","Occitanie","781666","43.4675998, 3.2295415"
"Générac","Gard","Occitanie","775791","43.7324379, 4.3434742"
"Béziers","Hérault","Occitanie","781005","43.33633, 3.218873"
"Saint-Saturnin-lès-Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","765438","43.9531783, 4.9352794"
"Cabanasse","Pyrénées-Orientales","Occitanie","784793","42.5020902, 2.1131379"
"Saint-Vallier","Drôme","Auvergne-Rhône-Alpes","761130","45.186395, 4.81439"
"Bollène","Vaucluse","Provence-Alpes-Côte d'Azur","764357","44.271525, 4.707908"
"Cannes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","757757","43.5515285, 6.9816599"
"Briançon","Hautes-Alpes","Provence-Alpes-Côte d'Azur","763607","44.889853, 6.633007"
"Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","765412","43.932635, 4.873943"
"Saillans","Drôme","Auvergne-Rhône-Alpes","761817","44.6944365, 5.1940397"
"Tullins","Isère","Auvergne-Rhône-Alpes","761759","45.300996, 5.492194"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","746867","45.996415, 6.9345425"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","746776","45.9125671, 6.8472858"
"Roche-sur-Foron","Haute-Savoie","Auvergne-Rhône-Alpes","746305","46.06756, 6.303885"
