"RangVariations","RangNbVoy","Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Variations","Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","score_pmr13","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"51","7","547000","Paris Austerlitz","22826428","23182286","-0.015350427477255695","Paris","Paris","Île-de-France","2.364891","48.842285","6.93","6.91","7.2","6.9","6.8","4.1","623","147","335","43","9","3","37","5","21","33","4.6","25.1","19.2","17.5","17.9","13.5","0","1","6","18","68","3","0","2","1","2","true","92.6","1","3","1","2"
"52","5","113001","Paris Est","33163296","33681792","-0.015393955285989533","Paris","Paris","Île-de-France","2.358424","48.876742","6.93","7.47","7.52","6.63","7.27","3.82","651","432","445","15","9","2","51","10","14","16","7.94","23.7","17.5","16.9","14.2","7.7","0","0","2","12","82","2","0","1","1","1","true","92.6","1","3","1","1"
"53","50","746008","Annecy","2227568","2262889","-0.015608808032563683","Annecy","Haute-Savoie","Auvergne-Rhône-Alpes","6.121835","45.901965","7.06","8.03","7.68","7.26","7.77","","121","76","79","3","6","","","","","","","","","","","","","","","","","","","","","","true","92.5","1","0","0","0"
"54","107","671339","Lourdes","675164","686179","-0.01605266264342103","Lourdes","Hautes-Pyrénées","Occitanie","-0.042174","43.100370","7.67","8.22","7.64","7.9","7.83","","76","22","31","3","4","","","","","","","","","","","","","","","","","","","","","","true","100","","","",""
"55","9","286005","Lille Flandres","18023854","18384462","-0.019614824736236502","Lille","Nord","Hauts-de-France","3.069870","50.636577","7.59","7.83","7.81","7.66","7.79","0.78","486","418","218","15","9","1","50","20","15","15","15.3","32.1","15.9","15.9","13.1","7.57","0","0","5","34","45","2","4","4","5","1","true","95","1","3","1","0"
"56","73","762906","Lyon Saint-Exupéry TGV","1239397","1264521","-0.019868392853894874","Colombier-Saugnieu","Rhône","Auvergne-Rhône-Alpes","5.074969","45.721109","7.45","8.57","8.12","7.46","7.96","16.78","37","54","27","3","5","1","13","0","38","47","2.8","28","21.5","21.4","16.3","10","0","7","5","1","0","3","22","38","23","0","true","89.8","1","3","1","1"
"57","49","276691","Compiègne","2253905","2303690","-0.02161098064409708","Compiègne","Oise","Hauts-de-France","2.823679","49.422005","7.02","7.4","6.91","6.15","7.54","","17","6","3","0","3","","","","","","","","","","","","","","","","","","","","","","true","94.2","0","2","0","0"
"58","33","171009","Reims","3731555","3817198","-0.022436090556476242","Reims","Marne","Grand Est","4.024435","49.258978","7.52","8.08","7.68","7.31","7.72","2.48","165","75","62","3","6","3","41","25","14","17","23.1","24.9","14.3","14.9","13","9.75","0","3","15","44","0","1","17","11","7","1","true","98.9","1","2","0","0"
"59","26","313874","Amiens","5232769","5362757","-0.024239024815034507","Amiens","Somme","Hauts-de-France","2.312592","49.890746","7.18","7.2","6.94","6.75","7.36","2.75","78","74","19","0","4","4","23","53","6","13","34.5","32.2","8.86","9.89","8.05","6.51","0","0","30","56","0","1","0","4","7","2","true","94.8","1","2","1","0"
"60","45","575001","Poitiers","2875760","2949849","-0.025116200863162828","Poitiers","Vienne","Nouvelle-Aquitaine","0.333241","46.582275","6.84","7.66","7.47","7.01","7.12","5.27","449","181","173","13","8","4","24","12","31","29","17.4","26.8","13.1","15.1","13.8","13.8","1","3","24","28","0","3","0","18","23","0","true","96.2","1","2","0","0"
"61","81","387001","Evreux Normandie","1084619","1113650","-0.026068333857136444","Évreux","Eure","Normandie","1.149629","49.018748","6.66","7.34","7.29","6.69","7.21","","51","34","9","1","4","","","","","","","","","","","","","","","","","","","","","","true","92.1","0","0","1","0"
"62","16","141002","Nancy","7670652","7896116","-0.028553785177421406","Nancy","Meurthe-et-Moselle","Grand Est","6.174583","48.689861","6.63","8.22","6.76","6.74","7.00","1.95","480","328","97","7","6","5","26","26","19","23","23.5","29","13.7","11.4","11.6","10.8","0","0","20","44","0","1","15","6","11","3","true","93.4","1","3","0","1"
"63","65","574004","Blois","1466599","1510967","-0.029363976843968135","Blois","Loir-et-Cher","Centre-Val de Loire","1.323823","47.585445","6.94","7.83","7.14","7.07","7.66","","96","22","40","10","4","","","","","","","","","","","","","","","","","","","","","","true","92.9","","","",""
"64","43","343004","Valenciennes","3050787","3144318","-0.029746037137465105","Valenciennes","Nord","Hauts-de-France","3.517115","50.363259","7.1","7.75","7.29","7.25","7.61","","65","50","19","0","3","","","","","","","","","","","","","","","","","","","","","","true","97.4","1","0","0","0"
"65","55","743005","Bourg en Bresse","1715679","1768560","-0.029900597095942463","Bourg-en-Bresse","Ain","Auvergne-Rhône-Alpes","5.215063","46.200351","7.54","8.35","7.67","7.15","7.93","","116","53","47","2","6","","","","","","","","","","","","","","","","","","","","","","true","88.5","1","0","0","0"
"66","41","757625","Cannes","3180933","3279478","-0.030048989503817375","Cannes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.019682","43.553839","6.62","7.8","7.41","7.34","6.55","1.72","312","72","262","10","7","4","29","31","5","32","31.2","19.1","9.81","12.5","7.73","19.7","0","0","20","62","0","1","0","3","14","0","true","83.6","1","0","0","0"
"67","89","118000","Troyes","945961","975356","-0.030137713819364417","Troyes","Aube","Grand Est","4.065281","48.296069","6.96","7.4","7.06","7.16","7.29","3.26","31","13","20","0","3","5","41","14","18","21","19.9","24.7","13.6","16.4","14.9","10.4","0","0","14","32","0","0","0","20","32","1","true","96.1","","","",""
"68","60","592006","Limoges Bénédictins","1610599","1665153","-0.03276215458879755","Limoges","Haute-Vienne","Nouvelle-Aquitaine","1.267356","45.836089","7.22","8.47","7.56","7.53","7.55","","383","88","77","10","6","","","","","","","","","","","","","","","","","","","","","","true","95.7","1","2","1","0"
"69","72","584052","Libourne","1241747","1283954","-0.032872673008534574","Libourne","Gironde","Nouvelle-Aquitaine","-0.236344","44.915888","6.58","7.56","7.24","6.95","7.78","","78","15","18","3","4","","","","","","","","","","","","","","","","","","","","","","true","98.7","","","",""
"70","103","444372","Trouville-Deauville","718740","743435","-0.033217429903085","Deauville","Calvados","Normandie","0.084167","49.360005","7.52","8.25","6.98","7.23","6.83","","27","14","55","6","4","","","","","","","","","","","","","","","","","","","","","","true","","1","0","0","1"
"71","90","481705","Saint-Nazaire","853503","882921","-0.033318949260466114","Saint-Nazaire","Loire-Atlantique","Pays de la Loire","-2.211096","47.286412","6.82","7.67","7.21","6.78","7.7","","75","37","46","2","4","","","","","","","","","","","","","","","","","","","","","","true","95.5","","","",""
"72","87","757526","Saint-Raphaël Valescure","1048552","1084720","-0.03334316690021388","Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","6.769083","43.423560","6.1","6.78","6.39","6.24","6.43","","132","41","121","6","6","","","","","","","","","","","","","","","","","","","","","","true","88.7","","","",""
"73","91","486019","La Roche sur Yon","851971","881434","-0.03342621228588868","Roche-sur-Yon","Vendée","Pays de la Loire","-1.435621","46.672120","6.68","8.1","7.83","7.16","7.42","","94","11","26","3","4","","","","","","","","","","","","","","","","","","","","","","true","96","0","0","1","1"
"74","29","182063","Mulhouse","4874589","5044556","-0.03369315356990784","Mulhouse","Haut-Rhin","Grand Est","7.342396","47.742224","7.48","7.73","7.58","7.16","7.75","2.17","232","126","51","4","6","3","34","21","19","22","25.9","25.5","16.7","12.6","13.6","5.68","0","1","11","27","0","3","29","8","15","6","true","97.6","0","1","0","1"
"75","116","575142","Châtellerault","488194","505263","-0.03378240639033533","Châtellerault","Vienne","Nouvelle-Aquitaine","0.549279","46.818594","7.07","7.81","7.16","7.16","7.68","","57","13","21","1","4","","","","","","","","","","","","","","","","","","","","","","true","98.7","","","",""
"76","1","271007","Paris Nord","206691760","214220327","-0.03514403654140627","Paris","Paris","Île-de-France","2.355151","48.880185","6.99","6.64","6.91","5.84","6.84","2.9","1030","714","898","28","11","3","46","7","24","20","5.44","26.1","20.6","16.6","11.7","5.01","0","0","5","10","79","3","0","1","1","1","true","89.8","2","3","0","2"
"77","17","747006","Grenoble","7256999","7530317","-0.03629568316977891","Grenoble","Isère","Auvergne-Rhône-Alpes","5.714584","45.191493","6.11","6.96","7.1","6.28","6.98","1.79","360","345","169","12","8","3","46","15","14","21","12.9","26.9","16.2","16.7","17.2","10.1","0","1","2","33","0","3","44","5","6","5","true","96.7","1","0","1","1"
"78","96","594002","Brive la Gaillarde","797188","827337","-0.03644101496729869","Brive-la-Gaillarde","Corrèze","Nouvelle-Aquitaine","1.528655","45.152618","7.17","7.8","7.25","7.39","7.3","","156","47","52","7","5","","","","","","","","","","","","","","","","","","","","","","true","100","0","0","0","1"
"79","38","543009","Orléans","3419367","3553105","-0.03763975452456372","Orléans","Loiret","Centre-Val de Loire","1.904666","47.907960","6.87","7.72","7.21","7.34","7.28","","246","91","58","9","6","","","","","","","","","","","","","","","","","","","","","","true","94.2","1","3","0","0"
