"Code_UIC","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil"
"381566","0","0","0","0"
"276196","0","0","0","0"
"684290","18","0","5","4"
"722405","4","0","0","0"
"681379","0","2","0","0"
"281899","31","5","0","0"
"381574","0","0","0","0"
"393306","0","0","0","0"
"393066","0","0","0","0"
"571885","0","0","0","0"
"641464","0","0","0","0"
"543124","1","0","0","0"
"478404","184","46","38","6"
"271395","0","1","0","0"
"681395","0","0","0","0"
"734160","1","0","0","0"
"694109","55","35","61","2"
"413013","53","49","49","2"
"682179","0","0","0","0"
"381095","0","0","0","0"
"382366","0","2","0","0"
"543017","141","29","30","2"
"113779","1","0","0","0"
"272146","0","0","0","0"
"113803","0","1","0","0"
"682153","0","0","0","0"
"286005","486","418","218","15"
"194274","12","0","0","0"
"718239","39","26","24","1"
"382457","0","0","0","0"
"276253","0","0","0","0"
"721159","0","0","0","0"
"281873","29","1","0","0"
"394130","0","0","0","0"
"783282","11","1","0","0"
"393579","1","0","2","0"
"645168","0","0","0","0"
"393108","0","0","0","0"
"393082","0","0","0","0"
"783001","5","0","0","0"
"753004","23","11","7","0"
"747329","2","0","0","0"
"694307","7","1","0","0"
"764001","97","46","40","2"
"682104","0","0","0","0"
"611152","10","1","3","0"
"276493","0","0","0","0"
"645481","1","0","0","0"
"386318","0","17","0","0"
"381020","0","0","0","0"
"334482","0","3","0","0"
"696005","165","88","34","2"
"713529","2","4","0","0"
"192468","0","14","0","0"
"694687","8","0","4","0"
"547000","623","147","335","43"
"113001","651","432","445","15"
"686006","2299","1209","2891","113"
"276469","0","0","0","0"
"393629","23","0","0","0"
"386573","4","32","0","1"
"683136","1","0","0","0"
"672279","7","0","1","0"
"476317","6","1","2","0"
"116038","0","1","0","0"
"474155","12","4","9","0"
"491803","12","8","6","0"
"576322","5","3","1","0"
"271015","0","0","0","0"
"713651","1","0","0","0"
"276600","0","0","0","0"
"447003","13","14","9","0"
"271247","0","0","0","0"
"276105","0","0","0","0"
"757526","132","41","121","6"
"592345","0","0","0","0"
"543165","5","0","2","0"
"215012","6","15","8","0"
"193615","8","10","1","0"
"212225","34","12","6","0"
"576868","3","0","0","0"
"272039","0","0","0","0"
"212027","692","556","354","26"
"276261","0","0","0","0"
"191007","41","47","19","0"
"755009","409","146","297","10"
"116210","0","6","0","0"
"116491","0","0","0","0"
"444372","27","14","55","6"
"118000","31","13","20","0"
"641357","0","0","0","1"
"276535","0","0","0","0"
"382267","0","1","0","0"
"381814","0","0","0","0"
"571216","23","16","17","7"
"175778","7","0","2","0"
"393009","78","10","38","2"
"382861","1","7","0","0"
"185009","7","9","6","0"
"276568","0","0","0","0"
"734186","0","0","0","0"
"722587","37","21","7","0"
"681304","0","0","0","0"
"613893","5","0","0","0"
"683102","0","0","0","0"
"113795","0","6","0","0"
"681312","0","0","0","0"
"313098","0","0","0","0"
"313072","1","0","0","0"
"741645","25","10","10","1"
"775288","68","8","13","0"
"574343","35","8","6","1"
"745497","43","13","9","0"
"381848","5","0","0","0"
"342014","141","93","71","5"
"734251","2","2","0","0"
"726760","1","0","0","0"
"683573","6","7","2","0"
"543207","0","0","0","0"
"726778","0","0","0","0"
"574160","2","0","0","0"
"713545","29","13","9","0"
"313510","10","15","6","0"
"382002","0","1","0","0"
"673400","63","28","42","0"
"393546","0","0","0","0"
"581009","2121","694","897","62"
"382440","1","0","0","0"
"543181","0","0","0","0"
"682138","0","0","0","0"
"545491","0","0","0","0"
"734269","17","1","0","0"
"345520","19","15","8","0"
"613109","4","0","0","0"
"615286","112","21","34","0"
"611897","1","0","0","0"
"615468","28","14","4","0"
"785006","4","0","0","0"
"381905","1","31","0","0"
"741009","193","100","109","4"
"484303","95","28","15","13"
"746370","4","7","5","0"
"192666","4","0","0","0"
"381459","3","21","0","0"
"696146","6","0","6","1"
"382200","0","0","0","0"
"608802","0","2","0","0"
"478073","25","14","5","0"
"276436","0","0","0","0"
"696427","1","0","0","0"
"763466","1","4","0","0"
"171553","47","2","1","0"
"276055","0","0","0","0"
"276071","0","0","0","0"
"324095","1","0","0","0"
"763003","48","14","11","0"
"381244","0","0","0","0"
"613141","6","0","4","0"
"447680","23","11","12","0"
"597609","16","0","0","0"
"473207","76","23","57","3"
"386409","4","17","0","0"
"755629","26","19","46","5"
"597062","10","5","4","0"
"713859","3","0","0","0"
