Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2017-08;0087318964;Avignon TGV;221;551;20;1307;515
2017-08;0087175042;Bar-le-Duc;19;4;2;45;20
2017-08;0087300863;Besançon Franche-Comté TGV;45;31;3;167;88
2017-08;0087734269;Brioude;0;3;0;15;12
2017-08;0087741009;Chambéry - Challes-les-Eaux;132;158;7;560;263
2017-08;0087171926;Champagne-Ardenne TGV;72;82;4;371;213
2017-08;0087545756;Châteaudun;0;1;0;3;2
2017-08;0087746370;Cluses;8;19;0;48;21
2017-08;0087342014;Arras;61;78;8;265;118
2017-08;0087751750;Aubagne;43;6;1;75;25
2017-08;0087386730;Aubergenville Élisabethville;0;0;0;1;1
2017-08;0087394452;Brou;0;0;0;0;0
2017-08;0087613356;Caussade;0;0;0;3;3
2017-08;0087144055;Charmes;0;1;0;2;1
2017-08;0087696427;Dompierre Sept Fons;0;0;0;2;2
2017-08;0087144006;Épinal;9;23;1;111;78
2017-08;0087317065;Étaples - Le Touquet;5;9;0;29;15
2017-08;0087381566;Gargenville;0;0;0;0;0
2017-08;0087381244;Gisors;0;2;0;3;1
2017-08;0087613141;Gourdon;0;1;0;12;11
2017-08;0087481788;Le Croisic;62;21;1;116;32
2017-08;0087584052;Libourne;31;12;1;114;70
2017-08;0087476002;Lorient;117;101;0;380;162
2017-08;0087282624;Lyon Jean Macé;0;0;0;0;0
2017-08;0087192039;Metz;151;93;8;475;223
2017-08;0087781278;Agde;67;77;6;286;136
2017-08;0087574343;Amboise;6;2;0;38;30
2017-08;0087726778;Bas - Monistrol;0;0;0;0;0
2017-08;0087574160;Beaugency;0;1;0;6;5
2017-08;0087718007;Besançon Viotte;58;45;2;241;136
2017-08;0087381079;Bois-Colombes;0;1;0;2;1
2017-08;0087317586;Boulogne;51;27;1;141;62
2017-08;0087415018;Dieppe;22;13;0;64;29
2017-08;0087683243;Joigny;0;0;0;0;0
2017-08;0087474239;Landerneau;18;17;0;67;32
2017-08;0087671123;Lannemezan;2;3;0;24;19
2017-08;0087386680;Les Mureaux;1;0;0;2;1
2017-08;0087722025;Lyon Perrache;66;53;4;277;154
2017-08;0087576116;Mehun-sur-Yèvre;0;0;0;0;0
2017-09;0087486449;Les Sables-d'Olonne;19;33;2;110;56
2017-09;0087382473;L'Étang-la-Ville;0;0;0;0;0
2017-09;0087592006;Limoges Bénédictins;68;76;8;469;317
2017-09;0087194001;Longwy;0;1;0;4;3
2017-09;0087723585;Meximieux - Pérouges;0;0;0;0;0
2017-09;0087611244;Montauban Ville Bourbon;35;42;0;182;105
2017-09;0087723569;Montluel;0;0;0;0;0
2017-09;0087645481;Murat;0;2;0;2;0
2017-09;0087334482;Neuville Université;0;0;0;0;0
2017-09;0087672006;Pau;20;46;5;261;190
2017-09;0087575001;Poitiers;148;151;5;696;392
2017-09;0087677120;Saint-Jean-de-Luz - Ciboure;25;54;1;138;58
2017-09;0087594333;Souillac;1;2;0;27;24
2017-09;0087574558;Vendôme;0;0;0;3;3
2017-09;0087763300;Veynes Dévoluy;0;4;0;8;4
2017-09;0087481192;Ancenis;14;5;0;43;24
2017-09;0087545657;Auneau;0;0;0;0;0
2017-09;0087187971;Basel sbb.;9;4;0;18;5
2017-09;0087718007;Besançon Viotte;104;30;3;228;91
2017-09;0087741793;Bourg-Saint-Maurice;0;3;1;5;1
2017-09;0087613000;Cahors;5;12;0;69;52
2017-09;0087615039;Castelnaudary;5;5;0;33;23
2017-09;0087396606;Château-du-Loir;1;0;0;4;3
2017-09;0087142125;Culmont - Chalindrey;6;10;0;41;25
2017-09;0087592121;Eymoutiers Vassivière;0;0;0;0;0
2017-09;0087726729;Firminy;2;2;0;56;52
2017-09;0087722405;Givors;0;0;0;2;2
2017-09;0087286302;Hazebrouck;51;6;0;92;35
2017-09;0087597062;Issoudun;4;2;0;8;2
2017-09;0087571828;Langeais;2;1;0;6;3
2017-09;0087447219;Lison;3;6;0;38;29
2017-09;0087313122;Longpré-les-Corps-Saints;0;0;0;0;0
2017-09;0087394130;Maintenon;0;0;0;2;2
2017-09;0087191106;Maizières-lès-Metz;0;0;0;0;0
2017-09;0087381509;Mantes-la-Jolie;15;8;0;67;44
2017-09;0087751404;Aix-en-Provence;12;4;1;31;14
