Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00216;La Trinité Victor;La Trinité Victor;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;LA TRINITE VICTOR GARE;1;1;La Trinité Victor;06340;Trinité;06-149;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3114604;43.7427854;0087756767;TVR;c;1;;GARES C PACA;;43.7427854, 7.3114604
00236;Les Arcs - Draguignan;Les Arcs - Draguignan;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;LES ARCS GARE;1;1;Les Arcs - Draguignan;83460;Arcs;83-004;Var;Provence-Alpes-Côte d'Azur;6.482498;43.455524;0087755447;LAC;a;2;;GARE LES ARCS DRAGUIGNAN;;43.455524, 6.482498
00243;Cuers - Pierrefeu;Cuers - Pierrefeu;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;CUERS PIERREFEU GARE;1;1;Cuers - Pierrefeu;83390;Cuers;83-049;Var;Provence-Alpes-Côte d'Azur;6.0856855;43.2364281;0087755355;CFU;c;1;;GARES C PACA;;43.2364281, 6.0856855
00199;Le Dramont;Le Dramont;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;LE DRAMONT HALTE;1;1;Le Dramont;83530;Saint-Raphaël;83-118;Var;Provence-Alpes-Côte d'Azur;6.8442467;43.4178193;0087757542;DRW;c;1;;GARES C PACA;;43.4178193, 6.8442467
00213;Peille;Peille;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;PEILLE GARE;1;1;Peille;06440;Peille;06-091;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3800257;43.7920239;0087756791;PEI;c;1;;GARES C PACA;;43.7920239, 7.3800257
00237;Vidauban;Vidauban;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;VIDAUBAN GARE;1;1;Vidauban;83550;Vidauban;83-148;Var;Provence-Alpes-Côte d'Azur;6.4338501;43.4309416;0087755421;VUB;c;1;;GARES C PACA;;43.4309416, 6.4338501
00240;Pignans;Pignans;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;PIGNANS GARE;1;1;Pignans;83790;Pignans;83-092;Var;Provence-Alpes-Côte d'Azur;6.2248459;43.298475;0087755389;PIG;c;1;;GARES C PACA;;43.298475, 6.2248459
00202;Fréjus - Saint-Raphael Autotrain;Fréjus - Saint-Raphael Autotrain;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;FREJUS ST RAPHAEL GARE;1;1;Fréjus - Saint-Raphael Autotrain;83700;Fréjus;83-061;Var;Provence-Alpes-Côte d'Azur;6.7551022;43.4288632;0087757518;;c;1;;;;43.4288632, 6.7551022
00294;Manosque - Gréoux-les-Bains;Manosque - Gréoux-les-Bains;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;MANOSQUE GREOUX LES BAINS GARE;1;1;Manosque - Gréoux-les-Bains;04100;Manosque;04-112;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;5.7933241;43.8231945;0087751321;MNQ;c;1;;GARES C PACA;;43.8231945, 5.7933241
00288;L'Ariane La Trinité;L'Ariane La Trinité;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;L ARIANE HALTE;1;1;L'Ariane La Trinité;06340;Trinité;06-149;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3025298;43.7343716;0087751529;ATJ;c;1;;GARES C PACA;;43.7343716, 7.3025298
00313;Grenoble Universités - Gières;Grenoble Universités - Gières;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;GIERES GARE;1;1;Grenoble Universités - Gières;38610;Gières;38-179;Isère;Auvergne-Rhône-Alpes;5.784740;45.184877;0087747402;GRS;b;1;;Gare Grenoble Universités Gièr;;45.184877, 5.78474
00328;Argentière;Argentière;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Etablissement Mont Blanc;ARGENTIERE GARE;1;1;Argentière;74400;Chamonix-Mont-Blanc;74-056;Haute-Savoie;Auvergne-Rhône-Alpes;6.9264844;45.9819438;0087746859;AGI;c;1;;GARES C RHONE ALPES;;45.9819438, 6.9264844
